Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR BAJS;MARKO MARUŠIĆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA PISANICA;004;BABINAC;MJESNI DOM;BABINAC 34;219;33;33;33;0;14;19
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA PISANICA;005;RIBNJAČKA;MJESNI DOM;RIBNJAČKA 38;109;37;37;37;0;8;29
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA PISANICA;006;NOVA PISANICA;MJESNI DOM;NOVA PISANICA 10;42;13;13;13;0;5;8
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA PISANICA;007;BAČKOVICA;MJESNI DOM;BAČKOVICA 60;42;4;4;4;0;3;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA PISANICA;008;ČAĐAVAC;MJESNI DOM;ČAĐAVAC 42;50;11;11;11;0;8;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA TRNOVITICA;001;VELIKA TRNOVITICA;MJESNI DOM;VELIKA TRNOVITICA 223 A;480;230;230;229;1;84;145
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA TRNOVITICA;002;MALA TRNOVITICA;MJESNI DOM;MALA TRNOVITICA 22 A;45;18;18;18;0;15;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA TRNOVITICA;003;NOVA PLOŠČICA;MJESNI DOM;NOVA PLOŠČICA 73;271;137;137;136;1;25;111
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA TRNOVITICA;004;GORNJA PLOŠČICA;MJESNI DOM;GORNJA PLOŠČICA 18 A;28;19;19;19;0;4;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA TRNOVITICA;005;GORNJA TRNOVITICA;MJESNI DOM;GORNJA TRNOVITICA 25;47;26;26;26;0;3;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA TRNOVITICA;006;MLINSKI VINOGRADI;MJESNI DOM;MLINSKI VINOGRADI 18 A;26;14;14;14;0;5;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA TRNOVITICA;007;VELIKA MLINSKA;MJESNI DOM;VELIKA MLINSKA 32 A;93;39;39;39;0;14;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKA TRNOVITICA;008;MALA MLINSKA;MJESNI DOM;MALA MLINSKA 9 A;65;46;46;46;0;15;31
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;001;VELIKI GRĐEVAC;BIVŠA TRGOVINA DAVORKE ŠOJAT;IGNACA FRANCIŠKOVIĆA 38;302;115;115;115;0;65;50
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;002;VELIKI GRĐEVAC;OSNOVNA ŠKOLA MATE LOVRAKA;TRG M. LOVRAKA 11;431;178;178;173;5;104;69
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;003;VELIKI GRĐEVAC;POSLOVNI PROSTOR MILANA RAKOCIJE;V. NAZORA 55;223;102;102;100;2;63;37
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;004;PAVLOVAC;PODRUČNA ŠKOLA;KRALJA ZVONIMIRA 2;150;50;50;50;0;33;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;005;PAVLOVAC;POSLOVNI PROSTOR MILOVANA KUNDAKA;MATIJE GUPCA 86;161;75;75;74;1;62;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;006;PAVLOVAC;KUĆA DRAGICE RANOGAJEC;KOLODVORSKA  96;118;50;50;50;0;7;43
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;007;DONJA KOVAČICA;MJESNI DOM U DONJOJ KOVAČICI;DONJA KOVAČICA 53A;217;106;106;106;0;78;28
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;008;MALA PISANICA;MJESNI DOM U MALOJ PISANICI;MALA PISANICA 43;140;44;44;43;1;28;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;009;DRAŽICA;MJESNI DOM U DRAŽICI;DRAŽICA 71;104;44;44;44;0;18;26
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;010;GORNJA KOVAČICA;VATROGASNO SPREMIŠTE U G. KOVAČICI;GORNJA KOVAČICA 95;245;79;79;78;1;31;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;011;ZRINSKA;BIVŠA TRGOVINA U ZRINSKOJ;ZRINSKA 47;101;29;29;26;3;16;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;001;MARTINAC;DRUŠTVENI DOM;MARTINAC 33;102;71;71;71;0;42;29
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;002;MAGLENČA;DRUŠTVENI DOM;MAGLENČA 17;260;140;140;138;2;80;58
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;003;KEGLJEVAC;DRUŠTVENI DOM;KEGLJEVAC 24;41;27;27;26;1;11;15
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;004;VRBICA;DRUŠTVENI DOM;VRBICA 60;88;66;66;65;1;31;34
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;005;PAULOVAC;KONTEJNER;PAULOVAC;79;51;51;51;0;15;36
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;006;ĆURLOVAC;DRUŠTVENI DOM;ĆURLOVAC 101;218;149;149;148;1;67;81
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;007;DOMINKOVICA;DRUŠTVENI DOM;DOMINKOVICA 37;40;34;34;33;1;19;14
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;008;GRGINAC;DRUŠTVENI DOM;GRGINAC 60;177;104;104;98;6;54;44
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;009;MALO TROJSTVO;DRUŠTVENI DOM;MALO TROJSTVO 73;127;88;88;87;1;36;51
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;010;VIŠNJEVAC;DRUŠTVENI DOM;VIŠNJEVAC 52;88;68;68;65;3;44;21
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKO TROJSTVO;011;VELIKO TROJSTVO;ZGRADA OPĆINE-MALA DVORANA;BRAĆE RADIĆ 28;998;553;553;538;15;245;293
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ZRINSKI TOPOLOVAC;001;ZRINSKI TOPOLOVAC;OPĆINSKI DOM;ZRINSKI TOPOLOVAC 274;448;201;201;196;5;23;173
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ZRINSKI TOPOLOVAC;002;JAKOPOVAC;VATROGASNI DOM;JAKOPOVAC 28;94;41;41;41;0;8;33
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ZRINSKI TOPOLOVAC;003;GORNJI KRIŽ;VATROGASNI DOM;GORNJI KRIŽ 34;97;40;40;39;1;11;28
